Restaurant Name,City,Address,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Sandubas Cafí©,Brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",Asa Sul,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,No,1,0.0,White,Not rated,2,Brazil
Villa Tevere,Brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",Asa Sul,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12,Brazil
Rovereto,Brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas Claras,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9,Brazil
Buena Carne,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,Brazil
Taco Pep,Brasí_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, íguas Claras, Brasí_lia",íguas Claras,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,Brazil
Coco Bambu,Brasí_lia,"Brasí_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasí_lia","Brasí_lia Shopping, Asa Norte",International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17,Brazil
Taypíç,Brasí_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasí_lia",Lago Sul,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,Brazil
Outback Steakhouse,Brasí_lia,"ParkShopping - Piso 2, SAI/SO, írea 6580, Guaríç I, Brasí_lia","ParkShopping, Guaríç I","American, Grill",150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,10,Brazil
Manzuíç,Brasí_lia,"Pontí£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasí_lia","Pontí£o Lago Sul, Lago Sul",Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6,Brazil
Coco Bambu,Brasí_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasí_lia",Setor De Clubes Esportivos Sul,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30,Brazil
Gero,Brasí_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasí_lia","Shopping Iguatemi, Lago Norte",Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8,Brazil
Brazilian American Burgers,Brasí_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasí_lia",Sudoeste,"American, Burger",50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,Brazil
Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,7,Brazil
Confeitaria Colombo,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29,Brazil
Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24,Brazil
Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,Brazil
Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11,Brazil
TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana",Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19,Brazil
Braseiro da Gíçvea,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40,Brazil
Balada Mix,Rio de Janeiro,"Rua Aní_bal de Mendoní_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,Brazil
Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49,Brazil
Zazíç BistríÇ Tropical,Rio de Janeiro,"Rua Joana Angí©lica, 40, Ipanema, Rio de Janeiro",Ipanema,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21,Brazil
Filí© de Ouro,Rio de Janeiro,"Rua Jardim Botí¢nico, 731, Jardim Botí¢nico, Lagoa, Rio de Janeiro",Lagoa,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14,Brazil
D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das Amí©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",Italian,150,Brazilian Real(R$),No,No,No,No,4,4.0,Green,Very Good,5,Brazil
Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25,Brazil
Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,Brazil
Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7,Brazil
Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8,Brazil
Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,1,Brazil
Aprazí_vel,Rio de Janeiro,"Rua Aprazí_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44,Brazil
Aconchego Carioca,Rio de Janeiro,"Rua Barí£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24,Brazil
Garota de Ipanema,Rio de Janeiro,"Avenida Joí£o Alves, 56, Urca, Rio de Janeiro",Urca,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10,Brazil
Cantina Famiglia Mancini,Sí£o Paulo,"Rua Avanhandava, 81, Bela Vista, Sí£o Paulo 10000","Bela Vista, Centro","Italian, Pizza",250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49,Brazil
Templo da Carne - Marcos Bassi,Sí£o Paulo,"Rua Treze de Maio, 668, Bela Vista, Sí£o Paulo 01327000","Bela Vista, Centro","Steak, BBQ",250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17,Brazil
Gopala Hari,Sí£o Paulo,"Rua Antonio Carlos, 429, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5,Brazil
Jiquitaia,Sí£o Paulo,"Rua AntíÇnio Carlos, 268, Consolaí_í£o, Sí£o Paulo",Consolaí_í£o,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15,Brazil
Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Avenida Brigadeiro Luí_s AntíÇnio, 4700, Jardim Paulista, Sí£o Paulo","Hotel Unique, Jardim Paulista","Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59,Brazil
Les 3 Brasseurs,Sí£o Paulo,"Rua Jesuí_no Arruda, 470, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,Brazil
Red Steak & Burger,Sí£o Paulo,"Rua Tabapuí£, 1417, Itaim Bibi, Sí£o Paulo",Itaim Bibi,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5,Brazil
Cantinho da Gula,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,0,Brazil
Paris 6 Classique,Sí£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo",Jardim Paulista,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73,Brazil
Kawa Sushi,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9,Brazil
A Figueira Rubaiyat,Sí£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira Cí©sar, Jardim Paulista, Sí£o Paulo 10000",Jardim Paulista,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,Brazil
Kinoshita,Sí£o Paulo,"Rua Jacques Fí©lix, 405, Vila Nova Conceií_í£o, Moema, Sí£o Paulo",Moema,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12,Brazil
Meats,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68,Brazil
Paribar,Sí£o Paulo,"Praí_a Dom Josí© Gaspar, 42, Repí_blica, Sí£o Paulo 10000",Repí_blica,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46,Brazil
Terraí_o Itíçlia,Sí£o Paulo,"Edifí_cio Itíçlia - 41Á Andar, Avenida Ipiranga, 344, Repí_blica, Sí£o Paulo",Repí_blica,Italian,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37,Brazil
Divino Fogí£o,Sí£o Paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana","Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,No,3,0.0,White,Not rated,2,Brazil
Super Grill,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro",Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0.0,White,Not rated,2,Brazil
Esquina Mocotí_,Sí£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Sí£o Paulo",Vila Maria,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22,Brazil
Veloso,Sí£o Paulo,"Rua Conceií_í£o Veloso, 56, Vila Mariana, Sí£o Paulo",Vila Mariana,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,Brazil
Sainte Marie Gastronomia,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11,Brazil
Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35,United States
BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"American, BBQ",10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25,United States
El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,Mexican,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45,United States
Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,26,United States
Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,Fast Food,10,Dollar($),No,No,No,No,1,3.5,Yellow,Good,67,United States
Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Asian, Chinese, Vegetarian",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,141,United States
Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Pizza, Bar Food, Sandwich",25,Dollar($),No,No,No,No,2,3.7,Yellow,Good,147,United States
Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Steak, Tapas, Bar Food",70,Dollar($),No,No,No,No,4,3.5,Yellow,Good,51,United States
Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Chinese, Seafood, Vegetarian",25,Dollar($),No,No,No,No,2,3.6,Yellow,Good,88,United States
House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,Chinese,10,Dollar($),No,No,No,No,1,3.8,Yellow,Good,153,United States
Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"American, Burger, Sandwich",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,57,United States
Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"American, Steak",25,Dollar($),No,No,No,No,2,3.5,Yellow,Good,58,United States
Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.6,Yellow,Good,115,United States
Shogun Japanese Steak House,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,"Japanese, Steak, Sushi",40,Dollar($),No,No,No,No,3,3.5,Yellow,Good,51,United States
The Catch Seafood Room & Oyster Bar,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,"Seafood, Tapas, Bar Food",40,Dollar($),No,No,No,No,3,3.8,Yellow,Good,250,United States
Villa Gargano,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,"Italian, Pizza",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,117,United States
3 Squares Diner,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,"American, Breakfast, Diner",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,20,United States
Whitebull Hotel,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Bar Food, Steak",20,Dollar($),No,No,No,No,2,3.5,Yellow,Good,25,Australia
Last Resort Grill,Athens,"184 W Clayton St, Athens, GA 30601",Athens,"American, Southern, Southwestern",40,Dollar($),No,No,No,No,3,4.5,Dark Green,Excellent,1821,United States
Mama's Boy Restaurant,Athens,"197 Oak St, GA 30601",Athens,Southern,10,Dollar($),No,No,No,No,1,4.5,Dark Green,Excellent,849,United States
Sr. Sol 1,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,Mexican,10,Dollar($),No,No,No,No,1,4.6,Dark Green,Excellent,917,United States
Choo Choo Eastside,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,"Japanese, Korean",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,439,United States
The Grill,Athens,"171 College Ave, Athens, GA 30601",Athens,"Breakfast, Burger, Sandwich",10,Dollar($),No,No,No,No,1,3.7,Yellow,Good,289,United States
Big City Bread Cafe,Athens,"393 N Finley St, Athens, GA 30601",Athens,"Breakfast, Sandwich",10,Dollar($),No,No,No,No,1,4.3,Green,Very Good,558,United States
Clocked,Athens,"259 W Washington St, Athens, GA 30601",Athens,"American, Burger, Sandwich",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,613,United States
DePalma's Italian Cafe - Downtown,Athens,"401 E Broad St, Athens, GA 30601",Athens,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,4.0,Green,Very Good,353,United States
DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"American, Italian, Pizza",25,Dollar($),No,No,No,No,2,4.1,Green,Very Good,387,United States
Five & Ten,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,American,40,Dollar($),No,No,No,No,3,4.3,Green,Very Good,755,United States
Grit,Athens,"199 Prince Ave, Athens, GA 30601",Athens,"International, Southern, Vegetarian",10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,800,United States
Ike & Jane,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,Sandwich,10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,350,United States
La Dolce Vita Ristorante,Athens,"323 E Broad St, Athens, GA 30601",Athens,Italian,40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,464,United States
Shokitini,Athens,"251 W Clayton St, Athens, GA 30601",Athens,"Asian, Japanese, Sushi",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,550,United States
Taqueria Del Sol,Athens,"334 Prince Ave, Athens, GA 30601",Athens,"Mexican, Spanish",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,543,United States
The National,Athens,"232 W. Hancock Ave., Athens, GA 30601",Athens,"International, Southern",40,Dollar($),No,No,No,No,3,4.1,Green,Very Good,465,United States
The Royal Peasant,Athens,"1675 S. Lumpkin St., Athens, GA 30606",Athens,Bar Food,10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,546,United States
Transmetropolitan,Athens,"145 E Clayton St, Athens, GA 30601",Athens,"Italian, Pizza, Sandwich",10,Dollar($),No,No,No,No,1,4.4,Green,Very Good,1098,United States
Trappeze Pub,Athens,"269 N Hull St, Athens, GA 30601",Athens,"Burger, Bar Food",25,Dollar($),No,No,No,No,2,4.2,Green,Very Good,579,United States
Viva! Argentine Cuisine,Athens,"247 Prince Ave, Athens, GA 30601",Athens,"Desserts, Latin American, Argentine",10,Dollar($),No,No,No,No,1,4.1,Green,Very Good,374,United States
Miyabi Kyoto Japanese Steak House,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",Augusta,"Chinese, Steak",40,Dollar($),No,No,No,No,3,4.6,Dark Green,Excellent,717,United States
Rae's Coastal Cafe,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,"American, Caribbean, Seafood",40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,548,United States
The Bee's Knees,Augusta,"211 10th Street, Augusta, GA 30901",Augusta,"International, Tapas, Vegetarian",25,Dollar($),No,No,No,No,2,4.5,Dark Green,Excellent,631,United States
Boll Weevil Cafe,Augusta,"10 9th St, Augusta, GA 30901",Augusta,"Desserts, Sandwich, Southern",10,Dollar($),No,No,No,No,1,3.9,Yellow,Good,372,United States
Farmhaus Burger,Augusta,"1204 Broad St, Augusta, GA 30901",Augusta,"American, Burger",25,Dollar($),No,No,No,No,2,3.9,Yellow,Good,201,United States
